filename,number_of_rods,number_of_spheres,rod_area,sphere_area
CN-016_000003.jpg,11,58,"[1791, 1873, 1801, 1505, 3601, 1424, 1164, 1514, 1244, 1969, 964]","[1270, 1293, 1524, 1484, 947, 1428, 1073, 1068, 1362, 1901, 1108, 1748, 1198, 1144, 1151, 1197, 1309, 1210, 1199, 914, 1125, 1212, 1381, 1321, 1588, 1418, 2044, 1271, 1147, 1666, 1344, 1447, 1395, 1278, 905, 1260, 1314, 854, 1015, 969, 1319, 1780, 617, 1107, 1276, 970, 1491, 899, 1389, 2653, 1413, 1502, 946, 1771, 1153, 720, 1373, 1255]"
CN-016_000004.jpg,2,98,"[1793, 1736]","[1135, 1025, 1071, 873, 1039, 1187, 1194, 832, 1172, 1197, 880, 1406, 854, 1110, 839, 1266, 875, 869, 996, 917, 1030, 921, 1384, 1183, 747, 812, 1760, 1363, 907, 936, 1138, 1732, 993, 1273, 878, 1305, 1649, 1388, 910, 1182, 1153, 896, 939, 1018, 1204, 1182, 1124, 1236, 961, 1232, 1072, 1567, 1201, 956, 1128, 948, 1169, 989, 950, 1041, 1614, 1094, 959, 1427, 1042, 919, 788, 831, 998, 1160, 845, 1435, 943, 886, 808, 947, 810, 1239, 919, 669, 883, 853, 984, 991, 966, 795, 1039, 930, 752, 1102, 887, 1549, 714, 807, 1004, 742, 1037, 969]"
CN-016_000005.jpg,5,55,"[1493, 1443, 1518, 1038, 1758]","[1374, 1099, 1139, 744, 1185, 1269, 976, 1209, 1008, 799, 917, 812, 781, 1118, 1054, 960, 1050, 981, 867, 1099, 1301, 776, 950, 982, 1251, 854, 1252, 896, 766, 646, 926, 1118, 1169, 910, 1295, 1490, 1165, 924, 1042, 1052, 827, 1000, 741, 883, 1118, 1047, 598, 981, 805, 1196, 1146, 685, 929, 1232, 1247]"
CN-016_000006.jpg,0,100,[],"[950, 1041, 1142, 876, 1011, 1200, 1413, 1203, 1226, 948, 975, 1739, 1312, 853, 1096, 985, 970, 1301, 899, 1035, 1100, 854, 1381, 1090, 1185, 1291, 1201, 1121, 957, 857, 1237, 1484, 1172, 1141, 1161, 1228, 869, 1375, 851, 993, 1416, 725, 944, 1645, 1191, 999, 1193, 913, 985, 1081, 1300, 1338, 869, 1163, 1054, 1160, 1348, 1184, 1588, 826, 1152, 926, 1065, 1311, 1114, 1082, 996, 1202, 1155, 1010, 961, 1109, 946, 1425, 1072, 969, 1377, 926, 1109, 1394, 1204, 959, 753, 811, 1048, 1105, 883, 1277, 859, 1042, 947, 1424, 1088, 1097, 1137, 868, 961, 1332, 1072, 959]"
CN-016_000007.jpg,0,100,[],"[852, 959, 1007, 970, 1133, 1105, 1173, 977, 1331, 1168, 977, 1280, 1136, 1412, 1305, 1131, 1094, 872, 1279, 792, 827, 1411, 893, 1534, 943, 1188, 846, 1010, 1152, 1124, 1115, 1212, 1109, 1285, 883, 653, 1060, 1028, 853, 1258, 1252, 944, 1010, 994, 1143, 1038, 1026, 1056, 1393, 1324, 1133, 1406, 729, 1231, 849, 925, 956, 1213, 955, 1181, 1199, 645, 1496, 1277, 1474, 1080, 1310, 670, 732, 821, 1337, 1260, 932, 1122, 1028, 900, 932, 1552, 840, 964, 1242, 960, 986, 1386, 1380, 1210, 1184, 1196, 932, 809, 1051, 750, 934, 666, 1112, 1585, 1039, 1270, 1007, 1058]"
CN-016_000008.jpg,5,95,"[1664, 1517, 1541, 1718, 1238]","[1037, 1137, 1277, 1009, 1129, 1140, 1127, 1189, 882, 1100, 1239, 1053, 1938, 1201, 1323, 1110, 918, 831, 973, 1256, 1064, 752, 943, 1223, 1019, 1214, 1194, 993, 893, 820, 1091, 1077, 1343, 825, 1038, 1227, 1483, 1355, 887, 1018, 1131, 1021, 1490, 1010, 744, 649, 1332, 707, 937, 1070, 1225, 966, 1312, 1175, 1423, 1050, 797, 1233, 939, 741, 939, 1181, 1176, 793, 1169, 854, 692, 1366, 1209, 946, 634, 1243, 1398, 710, 784, 1072, 1105, 1187, 783, 928, 1089, 949, 912, 862, 935, 1222, 853, 1347, 610, 642, 1257, 1222, 807, 873, 912]"
CN-017_000002.jpg,50,1,"[1907, 2286, 2079, 2411, 2381, 2262, 2181, 2140, 1970, 2239, 2023, 2048, 2218, 2300, 2155, 2112, 2217, 2434, 2412, 2167, 2116, 1877, 2196, 2255, 2012, 2203, 2365, 2371, 2303, 2250, 1497, 2088, 2007, 1982, 1674, 1938, 2295, 1898, 2042, 1923, 2068, 1296, 1970, 1989, 2342, 1987, 2238, 954, 3671, 2041]",[809]
CN-017_000003.jpg,24,0,"[2258, 2286, 2249, 2175, 2246, 2331, 2155, 1731, 2203, 1998, 2107, 2251, 2145, 2172, 1951, 2030, 2276, 2074, 2191, 2272, 1700, 1987, 1643, 2057]",[]
CN-017_000006.jpg,31,0,"[2308, 2214, 2418, 2301, 1937, 1909, 1869, 1989, 2302, 2028, 2329, 2178, 2165, 2242, 1959, 2311, 2073, 2111, 2287, 2132, 1895, 2753, 2253, 1921, 2041, 1773, 4488, 1994, 1940, 2788, 1936]",[]
CN-017_000007.jpg,100,0,"[2513, 2213, 2464, 2422, 2307, 2206, 2296, 1983, 2211, 2313, 2096, 2356, 2073, 2142, 2208, 2346, 2384, 2199, 2239, 2008, 2148, 2186, 2215, 2083, 2235, 2151, 1929, 2222, 2242, 2273, 1611, 2171, 2183, 2169, 2268, 2520, 2217, 2349, 2034, 2475, 2158, 2173, 2465, 2059, 2393, 2109, 2015, 2261, 2331, 2090, 2136, 2508, 1879, 2002, 2107, 2068, 2033, 2392, 2244, 2220, 2240, 2019, 1980, 2313, 2150, 2058, 2091, 2440, 2287, 2176, 2200, 2120, 2164, 2159, 2320, 2303, 2451, 1927, 2310, 2304, 2369, 2151, 2352, 2296, 1825, 3927, 2094, 2321, 2242, 2293, 2328, 2177, 1879, 1737, 2277, 2099, 2112, 2390, 1557, 2238]",[]
